finger,servo1_deg,servo2_deg,abduction_deg,flexion_deg,distal_deg,tip_x_mm,tip_y_mm,tip_z_mm,tip_travel_mm
2,-90.0,90.0,-0.3846,-61.512,-63.5015,-66.635,-15.954,160.57,115.311
3,-90.0,90.0,-0.3846,-61.5122,-63.5017,-66.635,-56.496,148.007,115.312
4,-90.0,90.0,-0.3844,-61.5124,-63.5021,88.727,47.51,-25.436,115.312
1,-85.0,-90.0,-38.5523,-4.7497,-4.7071,42.156,-15.744,151.982,40.842
2,-85.0,-90.0,-38.5522,-4.7499,-4.7073,42.156,-53.528,141.458,40.842
3,-85.0,-90.0,-38.5523,-4.7499,-4.7072,42.156,-91.254,124.154,40.842
4,-85.0,-90.0,-38.5521,-4.75,-4.7073,61.094,79.345,83.355,40.842
1,-85.0,-85.0,-38.4131,-4.9017,-4.8581,41.94,-15.761,152.255,40.846
2,-85.0,-85.0,-38.413,-4.9019,-4.8583,41.94,-53.573,141.727,40.846
3,-85.0,-85.0,-38.4131,-4.9018,-4.8582,41.94,-91.334,124.415,40.846
4,-85.0,-85.0,-38.4129,-4.902,-4.8584,61.345,79.453,83.139,40.847
1,-85.0,-80.0,-38.1281,-5.2128,-5.1673,41.494,-15.789,152.811,40.86
2,-85.0,-80.0,-38.128,-5.213,-5.1675,41.494,-53.659,142.277,40.86
3,-85.0,-80.0,-38.1282,-5.2129,-5.1674,41.494,-91.491,124.95,40.86
4,-85.0,-80.0,-38.1279,-5.213,-5.1676,61.858,79.67,82.693,40.861
1,-85.0,-75.0,-37.697,-5.6832,-5.6351,40.812,-15.819,153.651,40.894
2,-85.0,-75.0,-37.6969,-5.6835,-5.6353,40.811,-53.777,143.109,40.894
3,-85.0,-75.0,-37.6971,-5.6834,-5.6352,40.811,-91.717,125.759,40.894
4,-85.0,-75.0,-37.6968,-5.6835,-5.6354,62.636,79.986,82.01,40.895
1,-85.0,-70.0,-37.1213,-6.3114,-6.26,39.886,-15.836,154.767,40.965
2,-85.0,-70.0,-37.1213,-6.3116,-6.2602,39.885,-53.91,144.217,40.965
3,-85.0,-70.0,-37.1214,-6.3115,-6.2601,39.885,-91.994,126.84,40.965
4,-85.0,-70.0,-37.1212,-6.3117,-6.2603,63.679,80.384,81.084,40.965
1,-85.0,-65.0,-36.4047,-7.0936,-7.0386,38.709,-15.819,156.148,41.093
2,-85.0,-65.0,-36.4047,-7.0939,-7.0388,38.708,-54.038,145.592,41.094
3,-85.0,-65.0,-36.4048,-7.0938,-7.0387,38.708,-92.3,128.187,41.094
4,-85.0,-65.0,-36.4045,-7.0939,-7.0389,64.983,80.84,79.907,41.094
1,-85.0,-60.0,-35.5527,-8.0246,-7.9658,37.275,-15.746,157.775,41.308
2,-85.0,-60.0,-35.5526,-8.0249,-7.966,37.274,-54.135,147.219,41.308
3,-85.0,-60.0,-35.5528,-8.0248,-7.966,37.274,-92.608,129.787,41.308
4,-85.0,-60.0,-35.5525,-8.0249,-7.9661,66.537,81.327,78.473,41.309
1,-85.0,-55.0,-34.5727,-9.0977,-9.0352,35.578,-15.59,159.627,41.639
2,-85.0,-55.0,-34.5727,-9.0979,-9.0354,35.577,-54.173,149.076,41.64
3,-85.0,-55.0,-34.5728,-9.0978,-9.0354,35.577,-92.888,131.623,41.64
4,-85.0,-55.0,-34.5726,-9.098,-9.0355,68.331,81.814,76.776,41.64
1,-85.0,-50.0,-33.4739,-10.3052,-10.2394,33.614,-15.325,161.673,42.123
2,-85.0,-50.0,-33.4738,-10.3055,-10.2396,33.614,-54.124,151.139,42.123
3,-85.0,-50.0,-33.4739,-10.3054,-10.2395,33.614,-93.109,133.674,42.123
4,-85.0,-50.0,-33.4737,-10.3055,-10.2396,70.344,82.265,74.813,42.123
1,-85.0,-45.0,-32.2664,-11.6392,-11.5705,31.38,-14.927,163.879,42.794
2,-85.0,-45.0,-32.2663,-11.6395,-11.5707,31.38,-53.958,153.375,42.794
3,-85.0,-45.0,-32.2664,-11.6394,-11.5706,31.38,-93.237,135.913,42.794
4,-85.0,-45.0,-32.2662,-11.6395,-11.5707,72.553,82.646,72.579,42.794
1,-85.0,-40.0,-30.9615,-13.0915,-13.0204,28.875,-14.373,166.208,43.687
2,-85.0,-40.0,-30.9615,-13.0918,-13.0207,28.874,-53.651,155.749,43.688
3,-85.0,-40.0,-30.9616,-13.0917,-13.0206,28.874,-93.241,138.307,43.688
4,-85.0,-40.0,-30.9614,-13.0918,-13.0207,74.931,82.921,70.073,43.688
1,-85.0,-35.0,-29.5713,-14.6543,-14.5816,26.097,-13.643,168.618,44.836
2,-85.0,-35.0,-29.5712,-14.6546,-14.5818,26.096,-53.177,158.221,44.836
3,-85.0,-35.0,-29.5713,-14.6545,-14.5818,26.096,-93.095,140.82,44.836
4,-85.0,-35.0,-29.5711,-14.6546,-14.5818,77.445,83.06,67.296,44.837
1,-85.0,-30.0,-28.1079,-16.3202,-16.2466,23.049,-12.724,171.062,46.266
2,-85.0,-30.0,-28.1079,-16.3205,-16.2469,23.049,-52.518,160.749,46.267
3,-85.0,-30.0,-28.108,-16.3204,-16.2468,23.049,-92.771,143.412,46.267
4,-85.0,-30.0,-28.1078,-16.3205,-16.2468,80.056,83.032,64.248,46.267
1,-85.0,-25.0,-26.5839,-18.0825,-18.0088,19.735,-11.606,173.494,47.997
2,-85.0,-25.0,-26.5838,-18.0828,-18.0091,19.734,-51.66,163.284,47.997
3,-85.0,-25.0,-26.5839,-18.0827,-18.009,19.734,-92.252,146.038,47.997
4,-85.0,-25.0,-26.5837,-18.0828,-18.0091,82.724,82.813,60.933,47.997
1,-85.0,-20.0,-25.0115,-19.9352,-19.8623,16.159,-10.286,175.865,50.039
2,-85.0,-20.0,-25.0114,-19.9354,-19.8626,16.158,-50.595,165.78,50.04
3,-85.0,-20.0,-25.0115,-19.9354,-19.8625,16.158,-91.521,148.651,50.04
4,-85.0,-20.0,-25.0113,-19.9354,-19.8625,85.403,82.383,57.357,50.04
1,-85.0,-15.0,-23.403,-21.8726,-21.8017,12.329,-8.766,178.124,52.396
2,-85.0,-15.0,-23.4029,-21.8729,-21.802,12.328,-49.32,168.186,52.396
3,-85.0,-15.0,-23.403,-21.8728,-21.802,12.328,-90.571,151.203,52.396
4,-85.0,-15.0,-23.4028,-21.8729,-21.802,88.046,81.728,53.527,52.396
1,-85.0,-10.0,-21.7704,-23.8898,-23.8225,8.256,-7.056,180.223,55.059
2,-85.0,-10.0,-21.7703,-23.8901,-23.8228,8.255,-47.839,170.452,55.06
3,-85.0,-10.0,-21.7704,-23.89,-23.8227,8.255,-89.398,153.643,55.06
4,-85.0,-10.0,-21.7702,-23.8901,-23.8227,90.603,80.838,49.454,55.06
1,-85.0,-5.0,-20.1253,-25.9819,-25.9203,3.953,-5.17,182.112,58.017
2,-85.0,-5.0,-20.1253,-25.9822,-25.9205,3.952,-46.161,172.527,58.017
3,-85.0,-5.0,-20.1253,-25.9821,-25.9205,3.952,-88.006,155.919,58.017
4,-85.0,-5.0,-20.1251,-25.9822,-25.9205,93.023,79.713,45.151,58.017
1,-85.0,0.0,-18.4792,-28.1442,-28.0911,-0.563,-3.13,183.744,61.246
2,-85.0,0.0,-18.4792,-28.1445,-28.0914,-0.564,-44.303,174.363,61.247
3,-85.0,0.0,-18.4792,-28.1444,-28.0913,-0.564,-86.403,157.982,61.247
4,-85.0,0.0,-18.479,-28.1445,-28.0914,95.254,78.354,40.635,61.247
1,-85.0,5.0,-16.8432,-30.3715,-30.331,-5.269,-0.963,185.074,64.722
2,-85.0,5.0,-16.8431,-30.3718,-30.3313,-5.27,-42.286,175.913,64.722
3,-85.0,5.0,-16.8432,-30.3718,-30.3312,-5.27,-84.606,159.782,64.722
4,-85.0,5.0,-16.843,-30.3718,-30.3313,97.246,76.772,35.929,64.722
1,-85.0,10.0,-15.2281,-32.6581,-32.6356,-10.139,1.302,186.064,68.411
2,-85.0,10.0,-15.228,-32.6584,-32.6359,-10.14,-40.137,177.134,68.411
3,-85.0,10.0,-15.2281,-32.6584,-32.6359,-10.141,-82.635,161.273,68.411
4,-85.0,10.0,-15.2279,-32.6584,-32.636,98.95,74.982,31.059,68.411
1,-85.0,15.0,-13.6445,-34.9971,-35.0002,-15.141,3.627,186.677,72.277
2,-85.0,15.0,-13.6445,-34.9975,-35.0005,-15.142,-37.889,177.987,72.277
3,-85.0,15.0,-13.6445,-34.9975,-35.0005,-15.142,-80.517,162.412,72.277
4,-85.0,15.0,-13.6444,-34.9975,-35.0005,100.321,73.007,26.057,72.277
1,-85.0,20.0,-12.1029,-37.3802,-37.4186,-20.235,5.975,186.886,76.279
2,-85.0,20.0,-12.1029,-37.3805,-37.419,-20.236,-35.576,178.44,76.28
3,-85.0,20.0,-12.103,-37.3805,-37.419,-20.236,-78.283,163.163,76.28
4,-85.0,20.0,-12.1028,-37.3806,-37.419,101.321,70.872,20.963,76.28
1,-85.0,25.0,-10.6137,-39.7966,-39.8833,-25.376,8.304,186.674,80.373
2,-85.0,25.0,-10.6137,-39.797,-39.8837,-25.377,-33.237,178.472,80.374
3,-85.0,25.0,-10.6137,-39.797,-39.8837,-25.377,-75.968,163.5,80.374
4,-85.0,25.0,-10.6135,-39.797,-39.8838,101.918,68.611,15.822,80.374
1,-85.0,30.0,-9.1868,-42.233,-42.3844,-30.509,10.573,186.032,84.511
2,-85.0,30.0,-9.1868,-42.2334,-42.3847,-30.51,-30.913,178.071,84.512
3,-85.0,30.0,-9.1868,-42.2334,-42.3848,-30.51,-73.612,163.406,84.512
4,-85.0,30.0,-9.1867,-42.2334,-42.3848,102.091,66.259,10.689,84.512
1,-85.0,35.0,-7.8323,-44.6723,-44.9086,-35.574,12.741,184.969,88.639
2,-85.0,35.0,-7.8324,-44.6726,-44.909,-35.576,-28.646,177.24,88.639
3,-85.0,35.0,-7.8324,-44.6727,-44.909,-35.576,-71.256,162.878,88.639
4,-85.0,35.0,-7.8322,-44.6728,-44.9091,101.833,63.858,5.623,88.64
1,-85.0,40.0,-6.5603,-47.093,-47.4386,-40.505,14.771,183.507,92.7
2,-85.0,40.0,-6.5603,-47.0934,-47.439,-40.506,-26.475,175.999,92.701
3,-85.0,40.0,-6.5603,-47.0934,-47.4391,-40.506,-68.941,161.931,92.701
4,-85.0,40.0,-6.5602,-47.0935,-47.4392,101.153,61.451,0.693,92.701
1,-85.0,45.0,-5.3804,-49.4683,-49.9513,-45.227,16.627,181.691,96.634
2,-85.0,45.0,-5.3804,-49.4687,-49.9518,-45.228,-24.438,174.386,96.635
3,-85.0,45.0,-5.3804,-49.4688,-49.9519,-45.229,-66.712,160.598,96.635
